Datum;Stand Willem Loresluis;Stand Driewegsluis
19030323;500;493
19030324;500;493
19030325;500;500
19030326;500;495
19030327;500;493
19030328;500;500
19030329;500;500
19030330;500;495
19030331;500;496
19030401;500;500
19030402;500;494
19030403;500;501
19030404;500;495
19030405;500;495
19030406;500;507
19030407;500;498
19030408;500;501
19030409;500;495
19030410;500;495
19030411;500;493
19030412;500;495
19030413;500;495
19030414;500;503
19030415;500;495
19030416;500;498
19030417;500;496
19030418;500;495
19030419;500;498
19030420;500;502
19030421;500;499
19030422;500;499
19030423;500;498
19030424;500;496
19030425;500;498
19030426;500;494
19030427;500;503
19030428;500;502
19030429;500;505
19030430;500;494
19030501;500;507
19030502;500;497
19030503;500;498
19030504;500;494
19030505;500;500
19030506;500;500
19030507;500;506
19030508;500;493
19030509;500;505
19030510;500;506
19030511;500;504
19030512;500;505
19030513;500;507
19030514;500;500
19030515;500;497
19030516;500;501
19030517;500;498
19030518;500;505
19030519;500;494
19030520;500;502
19030521;500;504
19030522;500;495
19030523;500;498
19030524;500;496
19030525;500;504
19030526;500;500
19030527;500;495
19030528;500;493
19030529;500;507
19030530;500;502
19030531;500;507
19030601;500;502
19030602;500;500
19030603;500;503
19030604;500;500
19030605;500;503
19030606;500;502
19030607;500;503
19030608;500;501
19030609;500;507
19030610;500;495
19030611;500;507
19030612;500;503
19030613;500;497
19030614;500;494
19030615;500;503
19030616;500;504
19030617;500;502
19030618;500;500
19030619;500;499
19030620;500;498
19030621;500;497
19030622;500;507
19030623;500;501
19030624;500;499
19030625;500;502
19030626;500;495
19030627;500;501
19030628;500;503
19030629;500;498
19030630;500;499
19030701;500;493
19030702;500;506
19030703;500;494
19030704;500;493
19030705;500;506
19030706;500;497
19030707;500;502
19030708;500;505
19030709;500;503
19030710;500;494
19030711;500;504
19030712;500;495
19030713;500;502
19030714;500;501
19030715;500;502
19030716;500;498
19030717;500;499
19030718;500;505
19030719;500;507
19030720;500;501
19030721;500;504
19030722;500;498
19030723;500;501
19030724;500;498
19030725;500;504
19030726;500;504
19030727;500;499
19030728;500;506
19030729;500;503
19030730;500;497
19030731;500;496
19030801;500;499
19030802;500;503
19030803;500;496
19030804;500;497
19030805;500;501
19030806;500;499
19030807;500;504
19030808;500;506
19030809;500;493
19030810;500;506
19030811;500;501
19030812;500;504
19030813;500;493
19030814;500;502
19030815;500;501
19030816;500;497
19030817;500;501
19030818;500;498
19030819;500;501
19030820;500;504
19030821;500;500
19030822;500;500
19030823;500;500
19030824;500;494
19030825;500;507
19030826;500;495
19030827;500;501
19030828;500;504
19030829;500;503
19030830;500;493
19030831;500;495
19030901;500;496
19030902;500;493
19030903;500;494
19030904;500;500
19030905;500;506
19030906;500;493
19030907;500;506
19030908;500;493
19030909;500;505
19030910;500;499
19030911;500;505
19030912;500;497
19030913;500;505
19030914;500;497
19030915;500;504
19030916;500;501
19030917;500;505
19030918;500;498
19030919;500;503
19030920;500;495
19030921;500;507
19030922;500;499
19030923;500;504
19030924;500;504
19030925;500;493
19030926;500;501
19030927;500;497
19030928;500;498
19030929;500;501
19030930;500;497
19031001;500;496
19031002;500;494
19031003;500;504
19031004;500;500
19031005;500;504
19031006;500;507
19031007;500;495
19031008;500;507
19031009;500;495
19031010;500;505
19031011;500;496
19031012;500;501
19031013;500;494
19031014;500;506
19031015;500;504
19031016;500;497
19031017;500;497
19031018;500;502
19031019;500;505
19031020;500;497
19031021;500;494
19031022;500;494
19031023;500;493
19031024;500;499
19031025;500;504
19031026;500;502
19031027;500;497
19031028;500;503
19031029;500;507
19031030;500;507
19031031;500;498
19031101;500;503
19031102;500;500
19031103;500;496
19031104;500;493
19031105;500;501
19031106;500;499
19031107;500;501
19031108;500;498
19031109;500;500
19031110;500;505
19031111;500;505
19031112;500;500
19031113;500;507
19031114;500;503
19031115;500;507
19031116;500;499
19031117;500;494
19031118;500;507
19031119;500;505
19031120;500;493
19031121;500;495
19031122;500;505
19031123;500;500
19031124;500;496
19031125;500;503
19031126;500;497
19031127;500;493
19031128;500;498
19031129;500;506
19031130;500;505
19031201;500;507
19031202;500;494
19031203;500;493
19031204;500;504
19031205;500;494
19031206;500;502
19031207;500;497
19031208;500;501
19031209;500;501
19031210;500;506
19031211;500;506
19031212;500;506
19031213;500;498
19031214;500;494
19031215;500;493
19031216;500;503
19031217;500;505
19031218;500;500
19031219;500;493
19031220;500;495
19031221;500;498
19031222;500;502
19031223;500;502
19031224;500;495
19031225;500;498
19031226;500;495
19031227;500;497
19031228;500;502
19031229;500;498
19031230;500;499
19031231;500;503
19040101;500;500
19040102;500;497
19040103;500;505
19040104;500;494
19040105;500;505
19040106;500;497
19040107;500;498
19040108;500;495
19040109;500;497
19040110;500;493
19040111;500;500
19040112;500;497
19040113;500;504
19040114;500;495
19040115;500;493
19040116;500;495
19040117;500;500
19040118;500;496
19040119;500;498
19040120;500;505
19040121;500;505
19040122;500;503
19040123;500;506
19040124;500;503
19040125;500;494
19040126;500;493
19040127;500;498
19040128;500;503
19040129;500;499
19040130;500;493
19040131;500;497
19040201;500;493
19040202;500;495
19040203;500;494
19040204;500;503
19040205;500;493
19040206;500;499
19040207;500;501
19040208;500;493
19040209;500;505
19040210;500;499
19040211;500;502
19040212;500;506
19040213;500;501
19040214;500;500
19040215;500;505
19040216;500;496
19040217;500;497
19040218;500;498
19040219;500;506
19040220;500;500
19040221;500;500
19040222;500;506
19040223;500;497
19040224;500;507
19040225;500;507
19040226;500;502
19040227;500;493
19040228;500;506
19040229;500;503
19040301;500;495
19040302;500;498
19040303;500;499
19040304;500;497
19040305;500;495
19040306;500;494
19040307;500;507
19040308;500;501
19040309;500;506
19040310;500;507
19040311;500;494
19040312;500;495
19040313;500;505
19040314;500;502
19040315;500;495
19040316;500;494
19040317;500;498
19040318;500;505
19040319;500;496
19040320;500;498
19040321;500;505
19040322;500;506
19040323;500;494
19040324;500;498
19040325;500;498
19040326;500;494
19040327;500;496
19040328;500;494
19040329;500;498
19040330;500;503
19040331;500;506
19040401;500;501
19040402;500;501
19040403;500;499
19040404;500;500
19040405;500;504
19040406;500;507
19040407;500;504
19040408;500;501
19040409;500;501
19040410;500;498
19040411;500;498
19040412;500;498
19040413;500;506
19040414;500;501
19040415;500;497
19040416;500;500
19040417;500;496
19040418;500;497
19040419;500;503
19040420;500;506
19040421;500;504
19040422;500;502
19040423;500;500
19040424;500;500
19040425;500;499
19040426;500;503
19040427;500;502
19040428;500;497
19040429;500;503
19040430;500;499
19040501;500;501
19040502;500;497
19040503;500;499
19040504;500;504
19040505;500;507
19040506;500;500
19040507;500;497
19040508;500;502
19040509;500;507
19040510;500;497
19040511;500;504
19040512;500;506
19040513;500;496
19040514;500;501
19040515;500;495
19040516;500;504
19040517;500;502
19040518;500;498
19040519;500;507
19040520;500;503
19040521;500;502
19040522;500;494
19040523;500;496
19040524;500;501
19040525;500;505
19040526;500;505
19040527;500;507
19040528;500;503
19040529;500;505
19040530;500;501
19040531;500;500
19040601;500;495
19040602;500;499
19040603;500;500
19040604;500;502
19040605;500;496
19040606;500;501
19040607;500;505
19040608;500;497
19040609;500;507
19040610;500;507
19040611;500;496
19040612;500;502
19040613;500;504
19040614;500;493
19040615;500;503
19040616;500;498
19040617;500;507
19040618;500;505
19040619;500;501
19040620;500;505
19040621;500;496
19040622;500;496
19040623;500;505
19040624;500;505
19040625;500;497
19040626;500;496
19040627;500;498
19040628;500;504
19040629;500;504
19040630;500;501
19040701;500;501
19040702;500;506
19040703;500;494
19040704;500;496
19040705;500;496
19040706;500;500
19040707;500;500
19040708;500;500
19040709;500;495
19040710;500;505
19040711;500;496
19040712;500;497
19040713;500;505
19040714;500;505
19040715;500;495
19040716;500;494
19040717;500;502
19040718;500;503
19040719;500;497
19040720;500;496
19040721;500;504
19040722;500;505
19040723;500;501
19040724;500;499
19040725;500;504
19040726;500;500
19040727;500;502
19040728;500;499
19040729;500;500
19040730;500;505
19040731;500;502
19040801;500;506
19040802;500;497
19040803;500;494
19040804;500;503
19040805;500;502
19040806;500;505
19040807;500;502
19040808;500;497
19040809;500;505
19040810;500;493
19040811;500;500
19040812;500;493
19040813;500;503
19040814;500;495
19040815;500;494
19040816;500;504
19040817;500;496
19040818;500;506
19040819;500;497
19040820;500;495
19040821;500;504
19040822;500;493
19040823;500;502
19040824;500;502
19040825;500;501
19040826;500;503
19040827;500;496
19040828;500;502
19040829;500;502
19040830;500;507
19040831;500;507
19040901;500;496
19040902;500;500
19040903;500;504
19040904;500;502
19040905;500;497
19040906;500;494
19040907;500;504
19040908;500;502
19040909;500;503
19040910;500;507
19040911;500;500
19040912;500;507
19040913;500;501
19040914;500;505
19040915;500;502
19040916;500;501
19040917;500;495
19040918;500;495
19040919;500;502
19040920;500;498
19040921;500;507
19040922;500;496
19040923;500;495
19040924;500;503
19040925;500;496
19040926;500;503
19040927;500;504
19040928;500;493
19040929;500;493
19040930;500;506
19041001;500;497
19041002;500;497
19041003;500;502
19041004;500;501
19041005;500;506
19041006;500;499
19041007;500;502
19041008;500;503
19041009;500;506
19041010;500;500
19041011;500;494
19041012;500;499
19041013;500;504
19041014;500;502
19041015;500;494
19041016;500;496
19041017;500;498
19041018;500;507
19041019;500;506
19041020;500;493
19041021;500;506
19041022;500;497
19041023;500;501
19041024;500;498
19041025;500;499
19041026;500;499
19041027;500;494
19041028;500;506
19041029;500;504
19041030;500;495
19041031;500;500
19041101;500;502
19041102;500;502
19041103;500;495
19041104;500;504
19041105;500;498
19041106;500;497
19041107;500;494
19041108;500;499
19041109;500;499
19041110;500;498
19041111;500;500
19041112;500;503
19041113;500;494
19041114;500;503
19041115;500;495
19041116;500;494
19041117;500;506
19041118;500;500
19041119;500;502
19041120;500;507
19041121;500;493
19041122;500;504
19041123;500;500
19041124;500;497
19041125;500;497
19041126;500;496
19041127;500;503
19041128;500;504
19041129;500;503
19041130;500;502
19041201;500;495
19041202;500;501
19041203;500;500
19041204;500;496
19041205;500;506
19041206;500;506
19041207;500;493
19041208;500;500
19041209;500;495
19041210;500;505
19041211;500;505
19041212;500;495
19041213;500;493
19041214;500;498
19041215;500;500
19041216;500;502
19041217;500;499
19041218;500;504
19041219;500;498
19041220;500;500
19041221;500;495
19041222;500;498
19041223;500;502
19041224;500;504
19041225;500;495
19041226;500;496
19041227;500;504
19041228;500;501
19041229;500;502
19041230;500;501
19041231;500;493
19050101;500;498
19050102;500;501
19050103;500;502
19050104;500;499
19050105;500;500
19050106;500;493
19050107;500;504
19050108;500;493
19050109;500;503
19050110;500;500
19050111;500;506
19050112;500;507
19050113;500;505
19050114;500;499
19050115;500;494
19050116;500;499
19050117;500;494
19050118;500;503
19050119;500;495
19050120;500;504
19050121;500;496
19050122;500;500
19050123;500;502
19050124;500;504
19050125;500;495
19050126;500;503
19050127;500;502
19050128;500;499
19050129;500;504
19050130;500;498
19050131;500;503
19050201;500;501
19050202;500;500
19050203;500;496
19050204;500;495
19050205;500;498
19050206;500;502
19050207;500;503
19050208;500;506
19050209;500;497
19050210;500;498
19050211;500;507
19050212;500;493
19050213;500;505
19050214;500;499
19050215;500;498
19050216;500;494
19050217;500;493
19050218;500;501
19050219;500;507
19050220;500;506
19050221;500;496
19050222;500;507
19050223;500;507
19050224;500;493
19050225;500;494
19050226;500;505
19050227;500;501
19050228;500;500
19050301;500;499
19050302;500;495
19050303;500;495
19050304;500;503
19050305;500;500
19050306;500;494
19050307;500;505
19050308;500;507
19050309;500;499
19050310;500;502
19050311;500;499
19050312;500;493
19050313;500;506
19050314;500;494
19050315;500;499
19050316;500;493
19050317;500;499
19050318;500;507
19050319;500;502
19050320;500;494
19050321;500;504
19050322;500;495
19050323;500;504
19050324;500;502
19050325;500;500
19050326;500;496
19050327;500;503
19050328;500;505
19050329;500;496
19050330;500;500
19050331;500;507
19050401;500;494
19050402;500;505
19050403;500;495
19050404;500;495
19050405;500;504
19050406;500;504
19050407;500;494
19050408;500;504
19050409;500;493
19050410;500;497
19050411;500;506
19050412;500;496
19050413;500;497
19050414;500;496
19050415;500;504
19050416;500;496
19050417;500;495
19050418;500;503
19050419;500;507
19050420;500;495
19050421;500;501
19050422;500;495
19050423;500;500
19050424;500;505
19050425;500;498
19050426;500;504
19050427;500;507
19050428;500;494
19050429;500;497
19050430;500;493
19050501;500;497
19050502;500;493
19050503;500;498
19050504;500;501
19050505;500;498
19050506;500;503
19050507;500;494
19050508;500;503
19050509;500;502
19050510;500;493
19050511;500;507
19050512;500;505
19050513;500;498
19050514;500;498
19050515;500;505
19050516;500;502
19050517;500;496
19050518;500;493
19050519;500;503
19050520;500;501
19050521;500;505
19050522;500;497
19050523;500;507
19050524;500;497
19050525;500;497
19050526;500;500
19050527;500;494
19050528;500;503
19050529;500;504
19050530;500;505
19050531;500;500
19050601;500;507
19050602;500;506
19050603;500;505
19050604;500;499
19050605;500;496
19050606;500;501
19050607;500;501
19050608;500;507
19050609;500;503
19050610;500;504
19050611;500;503
19050612;500;499
19050613;500;499
19050614;500;503
19050615;500;503
19050616;500;499
19050617;500;494
19050618;500;500
19050619;500;498
19050620;500;505
19050621;500;505
19050622;500;494
19050623;500;504
19050624;500;498
19050625;500;499
19050626;500;493
19050627;500;495
19050628;500;503
19050629;500;498
19050630;500;499
19050701;500;499
19050702;500;506
19050703;500;506
19050704;500;495
19050705;500;497
19050706;500;496
19050707;500;493
19050708;500;502
19050709;500;507
19050710;500;506
19050711;500;503
19050712;500;504
19050713;500;500
19050714;500;505
19050715;500;495
19050716;500;497
19050717;500;494
19050718;500;500
19050719;500;497
19050720;500;502
19050721;500;503
19050722;500;501
19050723;500;504
19050724;500;502
19050725;500;500
19050726;500;496
19050727;500;507
19050728;500;504
19050729;500;506
19050730;500;502
19050731;500;498
19050801;500;498
19050802;500;495
19050803;500;495
19050804;500;500
19050805;500;500
19050806;500;493
19050807;500;500
19050808;500;495
19050809;500;497
19050810;500;497
19050811;500;503
19050812;500;506
19050813;500;498
19050814;500;496
19050815;500;504
19050816;500;502
19050817;500;499
19050818;500;495
19050819;500;501
19050820;500;494
19050821;500;500
19050822;500;505
19050823;500;506
19050824;500;507
19050825;500;505
19050826;500;507
19050827;500;505
19050828;500;504
19050829;500;505
19050830;500;498
19050831;500;504
19050901;500;498
19050902;500;493
19050903;500;504
19050904;500;505
19050905;500;502
19050906;500;507
19050907;500;499
19050908;500;502
19050909;500;496
19050910;500;502
19050911;500;500
19050912;500;505
19050913;500;507
19050914;500;501
19050915;500;496
19050916;500;502
19050917;500;497
19050918;500;507
19050919;500;502
19050920;500;494
19050921;500;499
19050922;500;503
19050923;500;502
19050924;500;494
19050925;500;506
19050926;500;501
19050927;500;506
19050928;500;500
19050929;500;503
19050930;500;500
19051001;500;494
19051002;500;498
19051003;500;503
19051004;500;493
19051005;500;504
19051006;500;493
19051007;500;498
19051008;500;501
19051009;500;498
