Datum,Etmaalsom neerslag,Hoogste uursom neerslag,Etmaalgemiddelde temperatuur,Etmaalgemiddelde windsnelheid
1901-11-29,,,56,
1901-11-30,,,73,
1901-12-01,,,80,
1901-12-02,,,77,
1901-12-03,,,68,
1901-12-04,,,11,
1901-12-05,,,-29,
1901-12-06,,,-4,
1901-12-07,,,67,
1901-12-08,,,94,
1901-12-09,,,55,
1901-12-10,,,43,
1901-12-11,,,21,
1901-12-12,,,11,
1901-12-13,,,45,
1901-12-14,,,22,
1901-12-15,,,4,
1901-12-16,,,-10,
1901-12-17,,,-36,
1901-12-18,,,-6,
1901-12-19,,,-17,
1901-12-20,,,5,
1901-12-21,,,5,
1901-12-22,,,7,
1901-12-23,,,3,
1901-12-24,,,18,
1901-12-25,,,54,
1901-12-26,,,39,
1901-12-27,,,29,
1901-12-28,,,16,
1901-12-29,,,63,
1901-12-30,,,83,
1901-12-31,,,106,
1902-01-01,,,87,
1902-01-02,,,89,
1902-01-03,,,76,
1902-01-04,,,86,
1902-01-05,,,58,
1902-01-06,,,68,
1902-01-07,,,72,
1902-01-08,,,55,
1902-01-09,,,36,
1902-01-10,,,73,
1902-01-11,,,51,
1902-01-12,,,44,
1902-01-13,,,24,
1902-01-14,,,1,
1902-01-15,,,21,
1902-01-16,,,69,
1902-01-17,,,65,
1902-01-18,,,34,
1902-01-19,,,2,
1902-01-20,,,62,
1902-01-21,,,80,
1902-01-22,,,78,
1902-01-23,,,79,
1902-01-24,,,49,
1902-01-25,,,22,
1902-01-26,,,-2,
1902-01-27,,,0,
1902-01-28,,,33,
1902-01-29,,,24,
1902-01-30,,,1,
1902-01-31,,,6,
1902-02-01,,,-14,
1902-02-02,,,-12,
1902-02-03,,,9,
1902-02-04,,,-5,
1902-02-05,,,-5,
1902-02-06,,,-2,
1902-02-07,,,-13,
1902-02-08,,,-17,
1902-02-09,,,7,
1902-02-10,,,0,
1902-02-11,,,-8,
1902-02-12,,,-28,
1902-02-13,,,-74,
1902-02-14,,,-43,
1902-02-15,,,-52,
1902-02-16,,,-67,
1902-02-17,,,-33,
1902-02-18,,,5,
1902-02-19,,,5,
1902-02-20,,,15,
1902-02-21,,,19,
1902-02-22,,,9,
1902-02-23,,,31,
1902-02-24,,,53,
1902-02-25,,,16,
1902-02-26,,,9,
1902-02-27,,,36,
1902-02-28,,,72,
1902-03-01,,,48,
1902-03-02,,,49,
1902-03-03,,,47,
1902-03-04,,,55,
1902-03-05,,,47,
1902-03-06,,,50,
1902-03-07,,,50,
1902-03-08,,,42,
1902-03-09,,,57,
1902-03-10,,,17,
1902-03-11,,,23,
1902-03-12,,,30,
1902-03-13,,,48,
1902-03-14,,,60,
1902-03-15,,,62,
1902-03-16,,,56,
1902-03-17,,,64,
1902-03-18,,,80,
1902-03-19,,,87,
1902-03-20,,,78,
1902-03-21,,,62,
1902-03-22,,,63,
1902-03-23,,,43,
1902-03-24,,,49,
1902-03-25,,,52,
1902-03-26,,,46,
1902-03-27,,,52,
1902-03-28,,,56,
1902-03-29,,,68,
1902-03-30,,,46,
1902-03-31,,,44,
1902-04-01,,,82,
1902-04-02,,,57,
1902-04-03,,,46,
1902-04-04,,,64,
1902-04-05,,,68,
1902-04-06,,,52,
1902-04-07,,,43,
1902-04-08,,,36,
1902-04-09,,,41,
1902-04-10,,,67,
1902-04-11,,,64,
1902-04-12,,,111,
1902-04-13,,,82,
1902-04-14,,,86,
1902-04-15,,,141,
1902-04-16,,,108,
1902-04-17,,,70,
1902-04-18,,,80,
1902-04-19,,,137,
1902-04-20,,,130,
1902-04-21,,,127,
1902-04-22,,,141,
1902-04-23,,,112,
1902-04-24,,,110,
1902-04-25,,,109,
1902-04-26,,,91,
1902-04-27,,,78,
1902-04-28,,,65,
1902-04-29,,,68,
1902-04-30,,,74,
1902-05-01,,,72,
1902-05-02,,,90,
1902-05-03,,,97,
1902-05-04,,,73,
1902-05-05,,,66,
1902-05-06,,,61,
1902-05-07,,,59,
1902-05-08,,,71,
1902-05-09,,,73,
1902-05-10,,,65,
1902-05-11,,,66,
1902-05-12,,,62,
1902-05-13,,,48,
1902-05-14,,,40,
1902-05-15,,,65,
1902-05-16,,,81,
1902-05-17,,,105,
1902-05-18,,,83,
1902-05-19,,,73,
1902-05-20,,,86,
1902-05-21,,,85,
1902-05-22,,,87,
1902-05-23,,,101,
1902-05-24,,,133,
1902-05-25,,,118,
1902-05-26,,,111,
1902-05-27,,,129,
1902-05-28,,,152,
1902-05-29,,,135,
1902-05-30,,,179,
1902-05-31,,,197,
1902-06-01,,,212,
1902-06-02,,,164,
1902-06-03,,,225,
1902-06-04,,,181,
1902-06-05,,,145,
1902-06-06,,,127,
1902-06-07,,,124,
1902-06-08,,,105,
1902-06-09,,,111,
1902-06-10,,,101,
1902-06-11,,,104,
1902-06-12,,,135,
1902-06-13,,,137,
1902-06-14,,,116,
1902-06-15,,,111,
1902-06-16,,,112,
1902-06-17,,,124,
1902-06-18,,,140,
1902-06-19,,,156,
1902-06-20,,,166,
1902-06-21,,,143,
1902-06-22,,,156,
1902-06-23,,,159,
1902-06-24,,,165,
1902-06-25,,,170,
1902-06-26,,,182,
1902-06-27,,,195,
1902-06-28,,,225,
1902-06-29,,,214,
1902-06-30,,,197,
1902-07-01,,,166,
1902-07-02,,,132,
1902-07-03,,,132,
1902-07-04,,,156,
1902-07-05,,,159,
1902-07-06,,,154,
1902-07-07,,,174,
1902-07-08,,,176,
1902-07-09,,,175,
1902-07-10,,,144,
1902-07-11,,,127,
1902-07-12,,,140,
1902-07-13,,,164,
1902-07-14,,,185,
1902-07-15,,,197,
1902-07-16,,,181,
1902-07-17,,,153,
1902-07-18,,,149,
1902-07-19,,,143,
1902-07-20,,,133,
1902-07-21,,,132,
1902-07-22,,,131,
1902-07-23,,,128,
1902-07-24,,,136,
1902-07-25,,,146,
1902-07-26,,,171,
1902-07-27,,,154,
1902-07-28,,,144,
1902-07-29,,,156,
1902-07-30,,,153,
1902-07-31,,,132,
1902-08-01,,,128,
1902-08-02,,,135,
1902-08-03,,,134,
1902-08-04,,,144,
1902-08-05,,,150,
1902-08-06,,,150,
1902-08-07,,,170,
1902-08-08,,,153,
1902-08-09,,,133,
1902-08-10,,,126,
1902-08-11,,,113,
1902-08-12,,,119,
1902-08-13,,,124,
1902-08-14,,,131,
1902-08-15,,,136,
1902-08-16,,,157,
1902-08-17,,,147,
1902-08-18,,,169,
1902-08-19,,,174,
1902-08-20,,,151,
1902-08-21,,,139,
1902-08-22,,,132,
1902-08-23,,,157,
1902-08-24,,,158,
1902-08-25,,,157,
1902-08-26,,,145,
1902-08-27,,,139,
1902-08-28,,,148,
1902-08-29,,,182,
1902-08-30,,,165,
1902-08-31,,,154,
1902-09-01,,,174,
1902-09-02,,,189,
1902-09-03,,,184,
1902-09-04,,,163,
1902-09-05,,,148,
1902-09-06,,,147,
1902-09-07,,,139,
1902-09-08,,,145,
1902-09-09,,,151,
1902-09-10,,,151,
1902-09-11,,,126,
1902-09-12,,,115,
1902-09-13,,,105,
1902-09-14,,,115,
1902-09-15,,,124,
1902-09-16,,,130,
1902-09-17,,,112,
1902-09-18,,,101,
1902-09-19,,,98,
1902-09-20,,,97,
1902-09-21,,,114,
1902-09-22,,,128,
1902-09-23,,,126,
1902-09-24,,,123,
1902-09-25,,,126,
1902-09-26,,,112,
1902-09-27,,,119,
1902-09-28,,,116,
1902-09-29,,,81,
1902-09-30,,,103,
1902-10-01,,,97,
1902-10-02,,,64,
1902-10-03,,,30,
1902-10-04,,,41,
1902-10-05,,,61,
1902-10-06,,,87,
1902-10-07,,,83,
1902-10-08,,,85,
1902-10-09,,,98,
1902-10-10,,,132,
1902-10-11,,,131,
1902-10-12,,,102,
1902-10-13,,,97,
1902-10-14,,,105,
1902-10-15,,,110,
1902-10-16,,,108,
1902-10-17,,,87,
1902-10-18,,,82,
1902-10-19,,,71,
1902-10-20,,,101,
1902-10-21,,,100,
1902-10-22,,,78,
1902-10-23,,,75,
1902-10-24,,,95,
1902-10-25,,,104,
1902-10-26,,,96,
1902-10-27,,,90,
1902-10-28,,,55,
1902-10-29,,,46,
1902-10-30,,,66,
1902-10-31,,,69,
1902-11-01,,,92,
1902-11-02,,,82,
1902-11-03,,,64,
1902-11-04,,,55,
1902-11-05,,,64,
1902-11-06,,,88,
1902-11-07,,,98,
1902-11-08,,,93,
1902-11-09,,,86,
1902-11-10,,,82,
1902-11-11,,,75,
1902-11-12,,,90,
1902-11-13,,,84,
1902-11-14,,,56,
1902-11-15,,,34,
1902-11-16,,,23,
1902-11-17,,,-19,
1902-11-18,,,-42,
1902-11-19,,,-60,
1902-11-20,,,-57,
1902-11-21,,,-47,
1902-11-22,,,-44,
1902-11-23,,,-27,
1902-11-24,,,30,
1902-11-25,,,42,
1902-11-26,,,36,
1902-11-27,,,9,
1902-11-28,,,47,
1902-11-29,,,41,
1902-11-30,,,36,
1902-12-01,,,17,
1902-12-02,,,20,
1902-12-03,,,-55,
1902-12-04,,,-39,
1902-12-05,,,-86,
1902-12-06,,,-98,
1902-12-07,,,-35,
1902-12-08,,,-56,
1902-12-09,,,-41,
1902-12-10,,,-53,
1902-12-11,,,-53,
1902-12-12,,,-66,
1902-12-13,,,1,
1902-12-14,,,42,
1902-12-15,,,40,
1902-12-16,,,40,
1902-12-17,,,76,
1902-12-18,,,54,
1902-12-19,,,34,
1902-12-20,,,55,
1902-12-21,,,59,
1902-12-22,,,23,
1902-12-23,,,-2,
1902-12-24,,,12,
1902-12-25,,,54,
1902-12-26,,,69,
1902-12-27,,,77,
1902-12-28,,,70,
1902-12-29,,,33,
1902-12-30,,,24,
1902-12-31,,,25,
1903-01-01,,,28,
1903-01-02,,,47,
1903-01-03,,,76,
1903-01-04,,,63,
1903-01-05,,,77,
1903-01-06,,,96,
1903-01-07,,,87,
1903-01-08,,,63,
1903-01-09,,,68,
1903-01-10,,,90,
1903-01-11,,,29,
1903-01-12,,,-17,
1903-01-13,,,-42,
1903-01-14,,,-48,
1903-01-15,,,-41,
1903-01-16,,,-41,
1903-01-17,,,-25,
1903-01-18,,,-19,
1903-01-19,,,7,
1903-01-20,,,20,
1903-01-21,,,-33,
1903-01-22,,,-28,
1903-01-23,,,22,
1903-01-24,,,20,
1903-01-25,,,57,
1903-01-26,,,70,
1903-01-27,,,73,
1903-01-28,,,58,
1903-01-29,,,59,
1903-01-30,,,71,
1903-01-31,,,47,
1903-02-01,,,40,
1903-02-02,,,26,
1903-02-03,,,38,
1903-02-04,,,61,
1903-02-05,,,53,
1903-02-06,,,33,
1903-02-07,,,49,
1903-02-08,,,95,
1903-02-09,,,87,
1903-02-10,,,74,
1903-02-11,,,73,
1903-02-12,,,61,
1903-02-13,,,33,
1903-02-14,,,56,
1903-02-15,,,49,
1903-02-16,,,14,
1903-02-17,,,-1,
1903-02-18,,,12,
1903-02-19,,,35,
1903-02-20,,,83,
1903-02-21,,,107,
1903-02-22,,,88,
1903-02-23,,,85,
1903-02-24,,,58,
1903-02-25,,,85,
1903-02-26,,,74,
1903-02-27,,,80,
1903-02-28,,,47,
1903-03-01,,,53,
1903-03-02,,,48,
1903-03-03,,,66,
1903-03-04,,,67,
1903-03-05,,,75,
1903-03-06,,,47,
1903-03-07,,,48,
1903-03-08,,,35,
1903-03-09,,,13,
1903-03-10,,,18,
1903-03-11,,,37,
1903-03-12,,,41,
1903-03-13,,,54,
1903-03-14,,,61,
1903-03-15,,,81,
1903-03-16,,,68,
1903-03-17,,,60,
1903-03-18,,,60,
1903-03-19,,,70,
1903-03-20,,,100,
1903-03-21,,,102,
1903-03-22,,,113,
1903-03-23,,,141,
1903-03-24,,,77,
1903-03-25,,,123,
1903-03-26,,,131,
1903-03-27,,,114,
1903-03-28,,,94,
1903-03-29,,,88,
1903-03-30,,,73,
1903-03-31,,,68,
1903-04-01,,,64,
1903-04-02,,,58,
1903-04-03,,,57,
1903-04-04,,,80,
1903-04-05,,,58,
1903-04-06,,,69,
1903-04-07,,,83,
1903-04-08,,,64,
1903-04-09,,,59,
1903-04-10,,,66,
1903-04-11,,,76,
1903-04-12,,,53,
1903-04-13,,,23,
1903-04-14,,,31,
1903-04-15,,,25,
1903-04-16,,,24,
1903-04-17,,,21,
1903-04-18,,,21,
1903-04-19,,,37,
1903-04-20,,,42,
1903-04-21,,,41,
1903-04-22,,,48,
1903-04-23,,,33,
1903-04-24,,,34,
1903-04-25,,,50,
1903-04-26,,,61,
1903-04-27,,,84,
1903-04-28,,,86,
1903-04-29,,,103,
1903-04-30,,,117,
1903-05-01,,,118,
1903-05-02,,,103,
1903-05-03,,,126,
1903-05-04,,,138,
1903-05-05,,,124,
1903-05-06,,,122,
1903-05-07,,,98,
1903-05-08,,,114,
1903-05-09,,,109,
1903-05-10,,,89,
1903-05-11,,,91,
1903-05-12,,,83,
1903-05-13,,,92,
1903-05-14,,,116,
1903-05-15,,,114,
1903-05-16,,,105,
1903-05-17,,,83,
1903-05-18,,,75,
1903-05-19,,,76,
1903-05-20,,,105,
1903-05-21,,,136,
1903-05-22,,,177,
1903-05-23,,,145,
1903-05-24,,,123,
1903-05-25,,,139,
1903-05-26,,,154,
1903-05-27,,,163,
1903-05-28,,,167,
1903-05-29,,,189,
1903-05-30,,,213,
1903-05-31,,,209,
1903-06-01,,,209,
1903-06-02,,,135,
1903-06-03,,,111,
1903-06-04,,,125,
1903-06-05,,,113,
1903-06-06,,,113,
1903-06-07,,,133,
1903-06-08,,,144,
1903-06-09,,,172,
1903-06-10,,,181,
1903-06-11,,,136,
1903-06-12,,,120,
1903-06-13,,,114,
1903-06-14,,,123,
1903-06-15,,,113,
1903-06-16,,,121,
1903-06-17,,,108,
1903-06-18,,,116,
1903-06-19,,,120,
1903-06-20,,,114,
1903-06-21,,,109,
1903-06-22,,,111,
1903-06-23,,,132,
1903-06-24,,,145,
1903-06-25,,,160,
1903-06-26,,,171,
1903-06-27,,,194,
1903-06-28,,,212,
1903-06-29,,,183,
1903-06-30,,,156,
1903-07-01,,,158,
1903-07-02,,,188,
1903-07-03,,,167,
1903-07-04,,,149,
1903-07-05,,,146,
1903-07-06,,,137,
1903-07-07,,,107,
1903-07-08,,,113,
1903-07-09,,,135,
1903-07-10,,,160,
1903-07-11,,,182,
1903-07-12,,,164,
1903-07-13,,,133,
1903-07-14,,,131,
1903-07-15,,,159,
1903-07-16,,,176,
1903-07-17,,,160,
1903-07-18,,,151,
1903-07-19,,,150,
1903-07-20,,,142,
1903-07-21,,,152,
1903-07-22,,,153,
1903-07-23,,,182,
1903-07-24,,,154,
1903-07-25,,,159,
1903-07-26,,,160,
1903-07-27,,,165,
1903-07-28,,,164,
1903-07-29,,,152,
1903-07-30,,,136,
1903-07-31,,,144,
1903-08-01,,,157,
1903-08-02,,,157,
1903-08-03,,,144,
1903-08-04,,,154,
1903-08-05,,,159,
1903-08-06,,,145,
1903-08-07,,,140,
1903-08-08,,,159,
1903-08-09,,,168,
1903-08-10,,,145,
1903-08-11,,,156,
1903-08-12,,,154,
1903-08-13,,,151,
1903-08-14,,,171,
1903-08-15,,,157,
1903-08-16,,,133,
1903-08-17,,,139,
1903-08-18,,,145,
1903-08-19,,,141,
1903-08-20,,,137,
1903-08-21,,,148,
1903-08-22,,,144,
1903-08-23,,,146,
1903-08-24,,,144,
1903-08-25,,,141,
1903-08-26,,,143,
1903-08-27,,,164,
1903-08-28,,,155,
1903-08-29,,,152,
1903-08-30,,,148,
1903-08-31,,,153,
1903-09-01,,,173,
1903-09-02,,,214,
1903-09-03,,,167,
1903-09-04,,,162,
1903-09-05,,,182,
1903-09-06,,,168,
1903-09-07,,,142,
1903-09-08,,,140,
1903-09-09,,,138,
1903-09-10,,,113,
1903-09-11,,,104,
1903-09-12,,,98,
1903-09-13,,,98,
1903-09-14,,,105,
1903-09-15,,,119,
1903-09-16,,,112,
1903-09-17,,,104,
1903-09-18,,,120,
1903-09-19,,,145,
1903-09-20,,,153,
1903-09-21,,,141,
1903-09-22,,,130,
1903-09-23,,,141,
1903-09-24,,,149,
1903-09-25,,,143,
1903-09-26,,,137,
1903-09-27,,,133,
1903-09-28,,,154,
1903-09-29,,,166,
1903-09-30,,,159,
1903-10-01,,,154,
1903-10-02,,,136,
1903-10-03,,,139,
1903-10-04,,,128,
1903-10-05,,,131,
1903-10-06,,,135,
1903-10-07,,,128,
1903-10-08,,,135,
1903-10-09,,,127,
1903-10-10,,,90,
1903-10-11,,,90,
1903-10-12,,,111,
1903-10-13,,,121,
1903-10-14,,,120,
1903-10-15,,,117,
1903-10-16,,,90,
1903-10-17,,,94,
1903-10-18,,,92,
1903-10-19,,,76,
1903-10-20,,,81,
1903-10-21,,,103,
1903-10-22,,,105,
1903-10-23,,,93,
1903-10-24,,,82,
1903-10-25,,,104,
1903-10-26,,,121,
1903-10-27,,,113,
1903-10-28,,,123,
1903-10-29,,,87,
1903-10-30,,,81,
1903-10-31,,,72,
1903-11-01,,,73,
1903-11-02,,,84,
1903-11-03,,,76,
1903-11-04,,,68,
1903-11-05,,,58,
1903-11-06,,,44,
1903-11-07,,,65,
1903-11-08,,,65,
1903-11-09,,,58,
1903-11-10,,,85,
1903-11-11,,,65,
1903-11-12,,,84,
1903-11-13,,,99,
1903-11-14,,,89,
1903-11-15,,,58,
1903-11-16,,,51,
1903-11-17,,,29,
1903-11-18,,,17,
1903-11-19,,,9,
1903-11-20,,,26,
1903-11-21,,,73,
1903-11-22,,,72,
1903-11-23,,,92,
1903-11-24,,,82,
1903-11-25,,,52,
1903-11-26,,,27,
1903-11-27,,,30,
1903-11-28,,,53,
1903-11-29,,,15,
1903-11-30,,,-8,
1903-12-01,,,10,
1903-12-02,,,5,
1903-12-03,,,7,
1903-12-04,,,0,
1903-12-05,,,10,
1903-12-06,,,5,
1903-12-07,,,-1,
1903-12-08,,,22,
1903-12-09,,,52,
1903-12-10,,,67,
1903-12-11,,,72,
1903-12-12,,,46,
1903-12-13,,,40,
1903-12-14,,,42,
1903-12-15,,,37,
1903-12-16,,,29,
1903-12-17,,,28,
1903-12-18,,,17,
1903-12-19,,,-4,
1903-12-20,,,-3,
1903-12-21,,,4,
1903-12-22,,,-3,
1903-12-23,,,-12,
1903-12-24,,,-7,
1903-12-25,,,-1,
1903-12-26,,,-2,
1903-12-27,,,4,
1903-12-28,,,-21,
1903-12-29,,,-54,
1903-12-30,,,-56,
1903-12-31,,,-47,
1904-01-01,,,-36,   31
1904-01-02,,,-28,   31
1904-01-03,,,2,   57
1904-01-04,,,-3,   62
1904-01-05,,,-4,   46
1904-01-06,,,-21,   31
1904-01-07,,,-26,   67
1904-01-08,,,6,   46
1904-01-09,,,15,   46
1904-01-10,,,21,   87
1904-01-11,,,10,   77
1904-01-12,,,28,   62
1904-01-13,,,82,  113
1904-01-14,,,55,  113
1904-01-15,,,37,   98
1904-01-16,,,28,   98
1904-01-17,,,12,   51
1904-01-18,,,18,   41
1904-01-19,,,-5,   31
1904-01-20,,,-20,   31
1904-01-21,,,-9,   26
1904-01-22,,,1,   26
1904-01-23,,,-32,   15
1904-01-24,,,-32,   26
1904-01-25,,,-16,   31
1904-01-26,,,-17,   62
1904-01-27,,,19,   87
1904-01-28,,,46,   87
1904-01-29,,,41,   57
1904-01-30,,,40,   87
1904-01-31,,,49,   82
1904-02-01,,,32,   62
1904-02-02,,,21,   72
1904-02-03,,,51,   72
1904-02-04,,,55,   82
1904-02-05,,,29,   41
1904-02-06,,,35,   62
1904-02-07,,,36,   77
1904-02-08,,,44,   77
1904-02-09,,,60,  103
1904-02-10,,,58,   82
1904-02-11,,,35,   46
1904-02-12,,,44,   72
1904-02-13,,,79,  123
