FactuurNummer,FactuurDatum,LeverancierID,KlantID,Verkoopcategorie,Subcategorie,Product,Bedrag
20135,20-1-2010,30,11156,Elektronica:,Smartphones,Xiaomi Mi 11 met betaalbare prijs en sterke specificaties,467.8
2700,21-1-2010,21,12691,Elektronica:,Slimme horloges,Samsung Galaxy Watch 4 met ECG-meting,596.4
15946,21-1-2010,30,9083,Schoonheids- en Verzorgingsproducten:,Make-up,Fenty Beauty Pro Filt'r Foundation voor een egale teint,39.7
17530,21-1-2010,30,8517,Voeding:,Drankjes (frisdrank, sap, water),Vers Geperst Sinaasappelsap voor een vitamineboost,3.4
18444,21-1-2010,26,9245,Reizen en Toerisme:,Reisverzekeringen,Wereldwijde Dekking voor Verlies van Bagage,42.4
19236,22-1-2010,8,2737,Schoonheids- en Verzorgingsproducten:,Parfums,Jo Malone London Wood Sage & Sea Salt voor frisse tonen,178.1
3949,23-1-2010,27,10375,Elektronica:,Tablets,Amazon Fire HD 10 voor betaalbare entertainment,494.9
11762,23-1-2010,19,4682,Auto en Transport:,Auto-onderdelen (banden, oliefilters, remblokken),Michelin Pilot Sport 4 Zomerbanden voor grip,78.6
12333,23-1-2010,8,10733,Reizen en Toerisme:,Vliegtickets,Premium Economy Vliegticket naar Tokyo,770.0
14341,23-1-2010,15,9602,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,The Ordinary Hyaluronic Acid Serum voor hydratatie,31.9
18996,23-1-2010,25,11210,Voeding:,Drankjes (frisdrank, sap, water),Coca-Cola Frisdrank in blik,4.5
20932,23-1-2010,8,14975,Schoonheids- en Verzorgingsproducten:,Bad- en lichaamsproducten,L'Occitane Shea Butter Hand Cream voor verzorgde handen,14.4
2203,24-1-2010,28,4009,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),Houten eettafel met uitschuifbaar blad,615.1
4172,24-1-2010,25,8354,Kleding en Mode:,T-shirts,Katoenen basic T-shirt,31.1
9733,24-1-2010,10,12492,Sport en Recreatie:,Fietsen,Cannondale Quick Hybride Fiets voor stadsvervoer,942.4
9782,24-1-2010,23,7441,Elektronica:,Laptops,Apple MacBook Pro 16-inch met Retina-display,588.2
11474,24-1-2010,29,429,Woondecoratie:,Planten en bloemen,Kamerplant: Monstera Deliciosa voor groene uitstraling,29.1
11731,24-1-2010,14,3391,Kleding en Mode:,Broeken,Slim fit jeans met lichte wassing,41.0
12211,24-1-2010,15,5865,Boeken en Onderwijs:,Studieboeken,Organic Chemistry door Paula Yurkanis Bruice,116.4
12804,24-1-2010,1,6175,Woondecoratie:,Schilderijen en wanddecoratie,Houten Wandplank voor het presenteren van decoratieve items,95.9
14543,24-1-2010,26,9830,Voeding:,Verpakte snacks,Lay's Classic Chips voor een klassieke snack,5.3
14753,24-1-2010,26,4098,Auto en Transport:,Fictie en non-fictie boeken,The Alchemist door Paulo Coelho,13.1
18322,24-1-2010,11,11112,Voeding:,Zuivelproducten,Yoplait Fruitige Yoghurt met aardbeiensmaak,6.4
3600,25-1-2010,9,9765,Auto en Transport:,Fictie en non-fictie boeken,The Alchemist door Paulo Coelho,14.4
3792,25-1-2010,15,1953,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),Opvouwbare campingstoelen voor buitenactiviteiten,538.2
11371,25-1-2010,2,8852,Reizen en Toerisme:,Reispakketten,Wellness Retreat in Thaise Wellness Resort,2086.0
11661,25-1-2010,13,5491,Huishoudelijke Artikelen:,Huishoudelijke apparaten (koelkasten, wasmachines, stofzuigers),Samsung EcoBubble Wasmachine met energiezuinige technologie,779.3
14842,25-1-2010,19,5047,Sport en Recreatie:,Fietsen,Cannondale Quick Hybride Fiets voor stadsvervoer,942.4
15159,25-1-2010,3,2468,Woondecoratie:,Kussens en dekens,Sherpa Fleece Deken voor warmte tijdens koude avonden,37.1
18735,25-1-2010,21,2702,Reizen en Toerisme:,Activiteiten en rondleidingen,Northern Lights Tour in Lapland, Finland,18.1
7654,26-1-2010,5,4750,Elektronica:,Laptops,HP Spectre x360 met 2-in-1 functionaliteit,1033.1
12448,26-1-2010,27,15000,Kleding en Mode:,Broeken,Legging met hoge taille en sportieve details,84.0
13140,26-1-2010,25,753,Kleding en Mode:,Schoenen,Witte leren sneakers met rubberen zool,166.0
14717,26-1-2010,1,12583,Boeken en Onderwijs:,Schrijfwaren,Pilot G2 Gel Ink Pennen voor vloeiend schrijven,5.8
18713,26-1-2010,5,12157,Boeken en Onderwijs:,Fictie en non-fictie boeken,To Kill a Mockingbird door Harper Lee,21.9
1390,27-1-2010,13,10816,Schoonheids- en Verzorgingsproducten:,Bad- en lichaamsproducten,Burt's Bees Beeswax Lip Balm voor zachte lippen,12.0
3422,27-1-2010,30,10823,Elektronica:,Laptops,Lenovo ThinkPad X1 Carbon voor zakelijke gebruikers,837.1
5923,27-1-2010,18,6984,Sport en Recreatie:,Fitnessapparatuur,NordicTrack Treadmill voor indoor hardlopen,413.5
5908,28-1-2010,30,14241,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Nike Premier Team Voetbal voor training en wedstrijden,166.1
5947,28-1-2010,2,14468,Reizen en Toerisme:,Reispakketten,All-Inclusive Pakket voor Caribisch Eiland Resort,1250.1
7287,28-1-2010,4,12275,Auto en Transport:,Auto-onderdelen (banden, oliefilters, remblokken),Michelin Pilot Sport 4 Zomerbanden voor grip,73.6
8873,28-1-2010,21,3378,Reizen en Toerisme:,Activiteiten en rondleidingen,Wijnproeverij Tour in Napa Valley, Californi ,134.6
1091,29-1-2010,1,918,Auto en Transport:,Accessoires (automatten, stoelhoezen, luchtverfrissers),Febreze Car Vent Clip Luchtverfrisser voor frisse geur,14.4
7025,29-1-2010,20,11594,Voeding:,Verpakte snacks,Lay's Classic Chips voor een klassieke snack,5.8
9325,29-1-2010,1,9887,Reizen en Toerisme:,Vliegtickets,First Class Vliegticket naar Dubai,877.6
10408,29-1-2010,9,1320,Woondecoratie:,Kaarsen en geurverspreiders,Glazen Geurkaars met Zeebriesaroma voor frisheid,17.3
13597,29-1-2010,12,3669,Reizen en Toerisme:,Reisverzekeringen,Annuleringsverzekering voor Flexibiliteit in Reisplannen,168.8
6193,30-1-2010,30,5449,Elektronica:,Laptops,ASUS ROG Zephyrus G14 voor gamers en creatievelingen,2299.3
6441,30-1-2010,13,13034,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,The Ordinary Hyaluronic Acid Serum voor hydratatie,33.2
18525,30-1-2010,6,10445,Voeding:,Verpakte snacks,Nature Valley Granola Bars voor onderweg,4.8
18613,30-1-2010,8,5593,Voeding:,Verse producten (groenten, fruit, vlees, vis),Biologische appels van lokale boerderij,5.1
20749,30-1-2010,26,3106,Sport en Recreatie:,Sportschoenen,Asics Gel-Kayano 28 voor stabiliteit en ondersteuning,153.4
2731,31-1-2010,16,13552,Woondecoratie:,Schilderijen en wanddecoratie,Abstract Canvas Schilderij voor moderne inrichting,42.2
3270,31-1-2010,24,13856,Reizen en Toerisme:,Vliegtickets,Last-Minute Vliegticket naar Barcelona,545.3
7800,31-1-2010,22,11967,Auto en Transport:,Auto-onderdelen (banden, oliefilters, remblokken),Bosch QuietCast Remblokken voor soepele remming,70.9
9818,31-1-2010,1,3506,Auto en Transport:,Accessoires (automatten, stoelhoezen, luchtverfrissers),WeatherTech DigitalFit Automatten voor bescherming,17.7
10466,31-1-2010,3,10397,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,Drunk Elephant T.L.C. Framboos Glycolic Night Serum,14.5
15401,31-1-2010,1,7877,Voeding:,Bakkerijproducten,Glutenvrije muffins voor een gezonder alternatief,6.0
16877,31-1-2010,2,8269,Huishoudelijke Artikelen:,Beddengoed en handdoeken,Gewatteerde sprei met bloemenmotief,104.6
18448,1-2-2010,12,5713,Boeken en Onderwijs:,E-books en audioboeken,Where the Crawdads Sing door Delia Owens (E-book),13.5
2194,2-2-2010,22,1127,Boeken en Onderwijs:,E-books en audioboeken,The Subtle Art of Not Giving a F*ck door Mark Manson (Audioboek),7.7
11845,2-2-2010,27,2931,Boeken en Onderwijs:,Studieboeken,Introduction to Psychology door James W. Kalat,22.4
13432,2-2-2010,10,14958,Elektronica:,Slimme horloges,Fitbit Versa 3 met fitness- en slaaptracking,657.7
18132,2-2-2010,7,8963,Sport en Recreatie:,Sportkleding,Lululemon Athletica Yoga Broek met stretchstof,81.2
18927,2-2-2010,14,13641,Reizen en Toerisme:,Activiteiten en rondleidingen,Northern Lights Tour in Lapland, Finland,18.1
2448,3-2-2010,6,14090,Woondecoratie:,Kaarsen en geurverspreiders,"Yankee Candle Geurkaars in de geur ""Vanilla Cupcake""",20.1
13818,3-2-2010,14,2471,Elektronica:,Slimme horloges,Fitbit Versa 3 met fitness- en slaaptracking,657.7
3092,4-2-2010,11,11391,Kleding en Mode:,Broeken,Slim fit jeans met lichte wassing,42.5
3351,4-2-2010,9,370,Voeding:,Zuivelproducten,Griekse yoghurt met honing en walnoten,9.6
4717,4-2-2010,9,10454,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),Opvouwbare campingstoelen voor buitenactiviteiten,545.3
7438,4-2-2010,7,11946,Auto en Transport:,Accessoires (automatten, stoelhoezen, luchtverfrissers),Febreze Car Vent Clip Luchtverfrisser voor frisse geur,13.8
10340,4-2-2010,7,4222,Boeken en Onderwijs:,E-books en audioboeken,Atomic Habits door James Clear (E-book),7.8
12061,4-2-2010,4,10849,Elektronica:,Slimme horloges,Samsung Galaxy Watch 4 met ECG-meting,612.3
12593,4-2-2010,25,8171,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),Opvouwbare campingstoelen voor buitenactiviteiten,499.3
15136,4-2-2010,8,8487,Elektronica:,Laptops,Dell XPS 15 met dunne randen en krachtige prestaties,912.7
19346,4-2-2010,24,11725,Reizen en Toerisme:,Activiteiten en rondleidingen,Northern Lights Tour in Lapland, Finland,18.8
19498,4-2-2010,7,9793,Boeken en Onderwijs:,E-books en audioboeken,The Subtle Art of Not Giving a F*ck door Mark Manson (Audioboek),8.5
11230,5-2-2010,14,14267,Woondecoratie:,Kussens en dekens,Sherpa Fleece Deken voor warmte tijdens koude avonden,40.5
12687,5-2-2010,17,10894,Huishoudelijke Artikelen:,Huishoudelijke apparaten (koelkasten, wasmachines, stofzuigers),Dyson V15 Detect Stofzuiger met geavanceerde sensoren,494.3
18994,5-2-2010,3,10761,Schoonheids- en Verzorgingsproducten:,Parfums,Chanel No. 5 Eau de Parfum voor tijdloze elegantie,217.2
4349,6-2-2010,13,9738,Schoonheids- en Verzorgingsproducten:,Bad- en lichaamsproducten,Bath & Body Works Body Lotion met fruitige geuren,16.2
4491,6-2-2010,21,12972,Sport en Recreatie:,Fietsen,Giant Talon 29er Mountainbike voor off-road avonturen,202.9
11672,6-2-2010,14,7670,Kleding en Mode:,Hoeden,Beanies in verschillende kleuren,38.2
13942,6-2-2010,10,3501,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Callaway Mavrik Golfclubs voor afstand en nauwkeurigheid,131.7
16427,6-2-2010,30,13846,Woondecoratie:,Kaarsen en geurverspreiders,"Yankee Candle Geurkaars in de geur ""Vanilla Cupcake""",17.9
16480,6-2-2010,18,13558,Woondecoratie:,Beeldjes en ornamenten,Metalen Sculptuur met Abstract Design voor eigentijds interieur,62.3
20361,6-2-2010,19,6448,Kleding en Mode:,T-shirts,Katoenen basic T-shirt,32.7
2160,7-2-2010,30,8218,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Nike Premier Team Voetbal voor training en wedstrijden,153.8
3142,7-2-2010,27,5566,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),Moderne fauteuil met minimalistisch ontwerp,1203.5
7918,7-2-2010,13,8079,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Vitamix Pro 750 Blender voor gladde smoothies,234.6
11277,7-2-2010,21,4331,Reizen en Toerisme:,Reisverzekeringen,Single-Trip Reisverzekering voor Europese stedentrip,168.4
12510,7-2-2010,4,8095,Voeding:,Zuivelproducten,Lactosevrije Almond Melk voor veganisten,8.4
12868,7-2-2010,27,10309,Voeding:,Zuivelproducten,Lactosevrije Almond Melk voor veganisten,8.5
20471,7-2-2010,26,2936,Sport en Recreatie:,Sportschoenen,Asics Gel-Kayano 28 voor stabiliteit en ondersteuning,138.3
5179,8-2-2010,22,13359,Voeding:,Drankjes (frisdrank, sap, water),Coca-Cola Frisdrank in blik,4.7
8990,8-2-2010,20,6585,Auto en Transport:,Autowas- en reinigingsproducten,Chemical Guys Microfiber Wash Mitt voor krasvrij reinigen,9.5
11404,8-2-2010,24,6372,Sport en Recreatie:,Fietsen,Trek Domane SL Racefiets voor lange ritten,654.9
14917,8-2-2010,11,13509,Woondecoratie:,Kaarsen en geurverspreiders,"Yankee Candle Geurkaars in de geur ""Vanilla Cupcake""",18.1
16134,8-2-2010,14,9375,Auto en Transport:,Auto-onderdelen (banden, oliefilters, remblokken),Mobil 1 Full Synthetic Motorolie voor bescherming,63.3
16492,8-2-2010,1,8553,Huishoudelijke Artikelen:,Huishoudelijke apparaten (koelkasten, wasmachines, stofzuigers),Instant Pot Multicooker voor diverse maaltijden,1083.2
17734,8-2-2010,5,624,Voeding:,Bakkerijproducten,Zacht wit brood voor smakelijke sandwiches,8.8
17785,8-2-2010,13,1560,Voeding:,Drankjes (frisdrank, sap, water),Nestl  Pure Life Flessenwater,1.0
20820,8-2-2010,24,7524,Boeken en Onderwijs:,Educatieve materialen,Science Experiment Kit voor hands-on leren,20.7
3191,9-2-2010,4,8524,Woondecoratie:,Planten en bloemen,Kamerplant: Monstera Deliciosa voor groene uitstraling,28.4
3219,9-2-2010,20,10115,Huishoudelijke Artikelen:,Huishoudelijke apparaten (koelkasten, wasmachines, stofzuigers),Instant Pot Multicooker voor diverse maaltijden,1141.8
4058,9-2-2010,11,9897,Elektronica:,Smartphones,Google Pixel 6 met focus op fotografie,351.7
5940,9-2-2010,22,6881,Boeken en Onderwijs:,Studieboeken,Introduction to Psychology door James W. Kalat,22.4
14870,9-2-2010,21,12541,Boeken en Onderwijs:,Fictie en non-fictie boeken,Sapiens: A Brief History of Humankind door Yuval Noah Harari,9.5
20114,9-2-2010,17,11257,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,Neutrogena Hydro Boost Water Gel voor verfrissing,31.2
3304,10-2-2010,19,10223,Boeken en Onderwijs:,Schrijfwaren,Moleskine Classic Notitieboek voor notities en schetsen,14.2
6327,10-2-2010,9,9858,Kleding en Mode:,Broeken,Slim fit jeans met lichte wassing,43.1
16795,10-2-2010,22,11966,Reizen en Toerisme:,Hotelaccommodaties,Luxe Suite in Marriott Amsterdam met uitzicht op grachten,89.4
17451,11-2-2010,27,10158,Schoonheids- en Verzorgingsproducten:,Haarverzorgingsproducten,Shea Moisture Curl Enhancing Smoothie voor krullend haar,21.9
18689,11-2-2010,13,9522,Boeken en Onderwijs:,Educatieve materialen,National Geographic Kids Magazine voor jeugdige leerlingen,64.8
5834,12-2-2010,20,5303,Voeding:,Zuivelproducten,Yoplait Fruitige Yoghurt met aardbeiensmaak,5.9
13670,12-2-2010,23,14726,Schoonheids- en Verzorgingsproducten:,Bad- en lichaamsproducten,Bath & Body Works Body Lotion met fruitige geuren,17.3
15602,12-2-2010,15,13613,Boeken en Onderwijs:,E-books en audioboeken,Born a Crime door Trevor Noah (Audioboek),25.3
17155,12-2-2010,7,6184,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),Moderne fauteuil met minimalistisch ontwerp,1235.1
10360,13-2-2010,18,10706,Kleding en Mode:,Hoeden,Strooien hoed met brede rand,38.8
10895,13-2-2010,16,5265,Boeken en Onderwijs:,Fictie en non-fictie boeken,Educated door Tara Westover,9.7
12276,13-2-2010,19,2485,Boeken en Onderwijs:,Fictie en non-fictie boeken,Becoming door Michelle Obama,18.7
15512,13-2-2010,6,7901,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Breville Barista Express Koffiezetapparaat voor espresso liefhebbers,192.0
3216,14-2-2010,2,11837,Boeken en Onderwijs:,E-books en audioboeken,Atomic Habits door James Clear (E-book),7.5
4003,14-2-2010,27,4353,Boeken en Onderwijs:,E-books en audioboeken,The Subtle Art of Not Giving a F*ck door Mark Manson (Audioboek),7.7
4182,14-2-2010,3,7737,Voeding:,Verpakte snacks,Kinder Bueno Chocoladerepen als zoete traktatie,7.9
7280,14-2-2010,17,3764,Kleding en Mode:,Hoeden,Panamahoed met zwarte band,45.1
12288,14-2-2010,23,13189,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Panasonic Inverter Magnetronoven voor snel opwarmen,103.7
1039,15-2-2010,10,3518,Kleding en Mode:,Jurken,Cocktailjurk met sweetheart halslijn,56.3
1866,15-2-2010,19,7879,Woondecoratie:,Schilderijen en wanddecoratie,Metalen Muurdecoratie met geometrisch patroon,72.8
